Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,41792,10,4179.2,4192.0,4032,4288,88.2,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_832_0
0.1,41760,10,4176.0,4192.0,4032,4384,125.5,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_904_0
0.1,38592,10,3859.2,3808.0,3776,4064,99.1,__myl_Fc_0x43bff7cd1d373e36c932800a3a4b6c27_tensorop128x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_962_0
0.1,34688,1,34688.0,34688.0,34688,34688,0.0,__myl_AddCastMulMeanAddSqrtDivMulMulCastReshDyna_cuda_tile_0x7ba0c1f39cb802b4a518d4242f9b7236
0.1,33088,1,33088.0,33088.0,33088,33088,0.0,__myl_AddCastMulMeanAddSqrtDivMulMulCastReshDyna_cuda_tile_0x9e456e034ebb30e9c01e9a5008199ee5
0.1,32736,1,32736.0,32736.0,32736,32736,0.0,__myl_AddCastMulMeanAddSqrtDivMulMulCastReshDyna_cuda_tile_0xe7a572a78dbe2c301dbd75c1be2a82dc
0.1,31840,9,3537.8,3488.0,3328,3872,161.7,__myl_Fc_0x664583e02eaa04d3f30bf77af41a7344_tensorop64x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_963_0
0.1,31264,1,31264.0,31264.0,31264,31264,0.0,__myl_AddCastMulMeanAddSqrtDivMulMulCastReshDyna_cuda_tile_0x02d3245302eebe80030c00d819d66051
0.1,30848,1,30848.0,30848.0,30848,30848,0.0,__myl_AddCastMulMeanAddSqrtDivMulMulCastReshDyna_cuda_tile_0x2980556b428dcd31a30d9c7204584c07
0.1,30240,1,30240.0,30240.0,30240,30240,0.0,__myl_Fc_0x4b81d33bc0d8b3e1282028fca8078357_tensorop256x256_cga2x2_sm2_acc_float_tile_k_count_4_gemm_869_0
